Immobilie	Quadratmeter	Wandhoehe	IA_Ratio	Kategorie
1	266.00	3.50	18.00	Buero
2	76.00	2.80	54.00	Wohnung
3	342.00	2.75	10.00	Buero
4	191.00	2.80	1.00	Buero
5	151.00	2.80	47.00	Wohnung
6	148.00	2.70	10.00	Wohnung
7	170.00	2.80	39.00	Wohnung
8	72.00	2.80	16.00	Buero
9	123.00	2.80	43.00	Wohnung
10	94.00	2.80	26.00	Wohnung
11	55.00	3.00	23.00	Wohnung
12	130.00	3.00	55.00	Wohnung
13	188.00	3.20	4.00	Buero
14	183.00	3.10	1.00	Buero
15	46.00	2.80	5.00	Wohnung
16	208.00	2.70	54.00	Wohnung
17	273.00	3.80	14.00	Buero
18	174.00	2.70	41.00	Wohnung
19	1196.00	4.00	20.00	Haus
20	65.00	2.80	19.00	Wohnung
21	100.00	2.80	50.00	Wohnung
22	132.00	3.10	13.00	Buero
23	30.00	2.80	6.00	Buero
24	191.00	3.00	4.00	Buero
25	210.00	3.00	35.00	Wohnung
26	104.00	2.80	2.00	Wohnung
27	49.00	2.90	33.00	Wohnung
28	216.00	3.20	54.00	Wohnung
29	56.00	2.80	1.00	Wohnung
30	323.00	3.40	10.00	Buero
31	36.00	3.00	27.00	Wohnung
32	63.00	2.70	33.00	Wohnung
33	70.00	2.70	38.00	Wohnung
34	1505.00	3.50	21.00	Haus
35	90.00	3.50	9.00	Buero
36	80.00	3.00	8.00	Wohnung
37	1466.00	4.20	65.00	Haus
38	86.00	3.20	22.00	Wohnung
39	1209.00	3.50	54.00	Haus
40	91.00	3.20	0.00	Buero
41	122.00	3.80	8.00	Buero
42	321.00	3.20	8.00	Buero
43	175.00	3.20	45.00	Wohnung
44	145.00	2.80	37.00	Wohnung
45	160.00	3.00	21.00	Wohnung
46	121.00	2.70	38.00	Wohnung
47	126.00	3.00	49.00	Wohnung
48	146.00	2.80	45.00	Wohnung
49	293.00	3.40	19.00	Buero
50	225.00	3.10	13.00	Buero
51	104.00	2.90	41.00	Wohnung
52	86.00	2.80	6.00	Wohnung
53	95.00	3.00	28.00	Wohnung
54	141.00	3.00	8.00	Wohnung
55	180.00	2.70	23.00	Wohnung
56	1150.00	3.50	38.00	Haus
57	30.00	2.70	1.00	Wohnung
58	283.00	2.75	6.00	Buero
59	345.00	2.80	5.00	Buero
60	470.00	4.20	24.00	Haus
61	74.00	2.70	28.00	Wohnung
62	120.00	2.90	25.00	Wohnung
63	141.00	2.90	14.00	Wohnung
64	22.00	3.10	5.00	Buero
65	1059.00	4.20	57.00	Haus
66	116.00	3.20	14.00	Buero
67	147.00	3.00	8.00	Wohnung
68	427.00	4.00	43.00	Haus
69	182.00	3.20	11.00	Buero
70	93.00	3.00	29.00	Wohnung
71	134.00	2.70	23.00	Wohnung
72	677.00	4.50	19.00	Haus
73	216.00	2.80	11.00	Wohnung
74	197.00	3.20	19.00	Wohnung
75	156.00	3.00	19.00	Buero
76	12.00	2.60	9.00	Buero
77	178.00	2.90	47.00	Wohnung
78	51.00	2.70	41.00	Wohnung
79	97.00	3.80	2.00	Buero
80	41.00	3.20	31.00	Wohnung
81	626.00	3.00	43.00	Haus
82	118.00	3.20	13.00	Buero
83	261.00	3.20	4.00	Buero
84	166.00	3.00	54.00	Wohnung
85	38.00	2.80	2.00	Buero
86	65.00	3.00	48.00	Wohnung
87	97.00	2.80	55.00	Wohnung
88	123.00	2.80	29.00	Wohnung
89	42.00	3.00	55.00	Wohnung
90	154.00	2.90	47.00	Wohnung
91	194.00	2.80	34.00	Wohnung
92	69.00	3.00	11.00	Wohnung
93	93.00	2.90	53.00	Wohnung
94	176.00	3.00	19.00	Buero
95	78.00	2.80	36.00	Wohnung
96	11.00	3.00	6.00	Buero
97	1439.00	3.00	3.00	Haus
98	1436.00	3.00	47.00	Haus
99	59.00	3.50	13.00	Buero
100	17.00	2.70	5.00	Buero
101	85.00	2.80	4.00	Buero
102	184.00	3.00	23.00	Wohnung
103	219.00	2.80	17.00	Wohnung
104	979.00	3.00	68.00	Haus
105	193.00	2.70	49.00	Wohnung
